"","Year","Females","Hatchlings","SEA.LEVEL","AMO.26","v1","v2","Hatchlings_pred","DensoDep","A","B","Q025","Q975"
"1",1984,5.75,1267,NA,0.009893425804,NA,0.017305578979923,1500.74023539595,259.123180359125,264.298960199952,0.99281557988739,118.842312002773,7811.07026286625
"2",1985,25.5,5697,NA,-0.0002498059224,NA,-0.000809041058099927,6719.1013456529,263.246055868296,264.298960199952,0.999058367974246,1045.18065978105,17321.4541356019
"3",1986,22.75,5888,11.25356,-0.01065981106,35.1624813376334,-0.033307274094593,6116.36264877239,270.320469576035,264.298960199952,1.00546534533709,816.0338927249,16345.123508897
"4",1987,9.5,2153,9.716784,-0.0207363548,21.8753161280308,-0.0466835854942344,2577.66365801459,274.498683197453,264.298960199952,1.01166708940777,1.27650692914852,10082.4829131771
"5",1988,17.75,5377,7.679289,-0.02989858193,22.0885956521747,-0.085999848010042,4930.74530582767,282.595904341924,264.298960199952,1.01730610505082,423.470346286476,14366.452369446
"6",1989,20,6876,6.953358,-0.03761877398,20.8303989701748,-0.112695775303419,5647.06843113977,288.581460628877,264.298960199952,1.02205760085196,650.561549045251,15572.0074173114
"7",1990,44.75,13095,8.637128,-0.0434530183,32.830513347759,-0.165168896107429,13038.5301715395,298.836807821473,264.298960199952,1.0256483648135,4166.12320899444,26839.3692381616
"8",1991,21,5715,11.4016,-0.0470670067,34.7124270259474,-0.143296557974629,6041.82991177255,295.725317942346,264.298960199952,1.02787264247353,788.954736599491,16223.1371910227
"9",1992,120.5,36704,13.77372,-0.04825546416,65.9988420349368,-0.231223282919821,36526.4320421793,311.794502560006,264.298960199952,1.02860409456623,20016.0313484668,57965.2648399689
"10",1993,14.25,4251,12.53811,-0.04695407874,33.3107103396481,-0.124745572990919,4054.99193198047,292.472521972909,264.298960199952,1.02780313944507,197.063977537328,12841.3519905007
"11",1994,206.5,62178,7.893599,-0.04324323908,42.0752540050288,-0.230499455101683,62530.3042765818,310.537680170354,264.298960199952,1.02551925337734,40168.068343916,89820.9723133248
"12",1995,45.75,13310,1.44962,-0.03734336256,5.54217528511536,-0.142770837214673,13147.0813848775,293.657835055725,264.298960199952,1.02188809519753,4227.58117445195,26995.0136993802
"13",1996,153,48556,-3.777959,-0.02960208544,-19.0047882190658,-0.148911453149675,44075.4460663017,293.007695148746,264.298960199952,1.0171236223071,25696.3013819004,67383.0228547801
"14",1997,27.75,14667,-6.677059,-0.02047405945,-22.1894417758795,-0.0680401281584708,7620.16069260327,277.759842948926,264.298960199952,1.01150565621464,1417.72288105036,18751.0306082333
"15",1998,167.25,37652,-8.060961,-0.01049452917,-41.268006803608,-0.0537266339817575,45434.6171481021,273.113968230716,264.298960199952,1.00536362037983,26736.5353197517,69061.1310805297
"16",1999,27.75,10725,-8.932457,-0.0002482254837,-29.6846612433779,-0.000824911823880945,7311.3574254001,263.223989381013,264.298960199952,0.999057395272038,1286.34163236287,18264.8053225145
"17",2000,119.5,66424,-10.71213,0.009664616818,-51.2395068012605,0.0462289198485724,30537.3409777147,253.742663331459,264.298960199952,0.99295640344841,15652.1356187829,50350.9784407237
"18",2001,7,5009,-15.03141,0.0186631425,-29.2497732736115,0.0363167984040156,1805.34658744162,254.661709933194,264.298960199952,0.987418140058386,51.1439593268327,8487.98131963353
"19",2002,232.25,44196,-18.91634,0.0262196331,-103.052709025347,0.14283969418004,55882.9855643032,236.469219514833,264.298960199952,0.9827673965115,34877.4125194287,81816.9907132549
"20",2003,61.5,14103,-22.31682,0.03189017598,-91.9238112035985,0.131356820372932,14924.5209392499,237.646273735814,264.298960199952,0.979277384798061,5259.88806527983,29517.5859172971
"21",2004,152.75,28140,-23.00973,0.03534046293,-115.711390004468,0.177720211798734,35989.940730698,230.230503988878,264.298960199952,0.977153859392283,19619.4027720782,57288.9107933949
"22",2005,247,66192,-22.03022,0.03636521896,-121.373037121348,0.200350113197147,57361.3604684703,226.780149636725,264.298960199952,0.976523159541528,36047.3692514001,83603.7837896177
"23",2006,224,52296,-20.23692,0.03490013209,-109.515048219706,0.188867162034068,52394.5736931479,228.623925085693,264.298960199952,0.977424866916944,32133.3370954044,77584.2423949686
"24",2007,337.25,77448,-18.01912,0.03102559098,-104.886135075928,0.180594519950961,79251.376133654,230.248336957805,264.298960199952,0.979809505238928,53766.1726414734,109665.011729912
"25",2008,573.5,128801,-17.3224,0.02496201302,-110.02769168043,0.158552664312534,136529.758432816,234.145896930537,264.298960199952,0.983541415666833,102309.43701681,175678.511952899
"26",2009,308,73612,-16.52959,0.01705703445,-94.7162000716421,0.0977385094001178,76172.0263068895,244.444599499348,264.298960199952,0.988406640811518,51235.1963977433,106037.288320113
"27",2010,919.5,246515,-14.25356,0.007765307022,-97.2638709625892,0.0529891353579524,233473.388275956,252.421768321914,264.298960199952,0.994125359150847,187965.576181858,283909.632474132
"28",2011,741.5,184711,-10.26966,-0.002377924705,-67.868846959851,-0.0157149319340362,196455.066419684,265.040311274163,264.298960199952,1.00036814723807,154914.386008912,242924.178934534
"29",2012,1240.5,316224,-3.439014,-0.01278792984,-24.4970245787477,-0.0910918744738408,344073.897307277,279.246304581141,264.298960199952,1.00677512459932,288301.615496478,404774.611222152
"30",2013,1540,473273,3.789539,-0.02286447358,27.8134643387175,-0.167814665726063,447692.906422966,294.482180827342,264.298960199952,1.01297686867,383727.850421451,516586.394528559
"31",2014,763.0615385,235000,10.69525,-0.03202670072,70.9879965319676,-0.212572059525652,228200.406534218,304.626228915682,264.298960199952,1.0186158843192,183237.410782764,278091.83438975
"32",2015,2090.238095,713872,14.36784,-0.03974689276,109.842614667505,-0.303866317112893,660504.056919658,323.378617919917,264.298960199952,1.02336738011419,582280.610978105,743655.934965287
"33",2016,768.8095238,193385,16.29276,-0.04558113708,108.262836235845,-0.302879510846268,243058.339672533,324.671760280075,264.298960199952,1.02695814407572,196575.71671722,294469.394731923
"34",2017,2728,995040,17.16165,-0.04919512548,135.771373850042,-0.38919857782584,908251.408084785,342.65263332757,264.298960199952,1.02918242173576,816097.915454164,1005333.33281948
"35",2018,418,124751,18.6837,-0.05038358295,112.765124440863,-0.304089179398796,132336.996246806,326.06628817269,264.298960199952,1.02991387383461,98684.3491775852,170918.075420104
"36",2019,2455,717783,19.78758,-0.04908219752,154.459515341587,-0.383129844116322,814406.525131479,341.391558489745,264.298960199952,1.0291129187073,727274.454829363,906467.027537673
"37",2020,1685,551077,20.45978,-0.04537135786,152.006361948826,-0.337087448886393,543578.053218938,331.253250178576,264.298960199952,1.02682903263957,472844.079012529,619240.459529424
